"business_id","categories","city","date","entropy","industry","name","negative","negativity","positive","positivity","review_id","stars","state","text","Topic 1","Topic 2","Topic 3","type","user_id","votes_cool","votes_funny","votes_useful","wordsLength"
"_JGhQ6BkMqdiDrDIIO4bVg","Banks & Credit Unions,Financial Services","Surprise","2013-10-21",0.394777735916417,"Banking","Wells Fargo Bank",1,0.0149253731343284,11,0.164179104477612,"0NDg3XSPFEjrE95nZox0hw",4,"AZ","So I was out in the greater Phoenix area and stayed out here in SURPRISE! yeah I think its always a Surprise in Surprise haha... but my buddy needed to pick up some cash and deposit a check before we went to the USC vs ASU game. So what were we to do but head over to the bank.

Well surprise surprise... Arizona still has drive up tellers... That kicks azz! I miss these in California. None the less they also have an ATM island to conduct your bidness at afterhours or if the drive thru is busy.

Pro Tip: Drive thru, walk in, or ATMs who could ask for more?

Well we had a quick n easy trip to this branch. Friendly, lots of AC inside I would imagine (we didn't go in), easy to navigate drive through lanes. What more do you need?

How about a quick n easy transaction and we were in and out and didn't have to leave the car. Talk about nice and wonderfully easy. Great quickie trip to the bank. I wish that we had the drive through tellers in California still...",0.0489890936739013,0.0946204050221505,0.856390501303948,"review","gXvP7LWHZJhoP7njsJ97dw",5,6,7,67
"_JGhQ6BkMqdiDrDIIO4bVg","Banks & Credit Unions,Financial Services","Surprise","2014-12-29",0.296033025460062,"Banking","Wells Fargo Bank",1,0.0588235294117647,2,0.117647058823529,"F2UZ2wjV10iwy0-6WImiFQ",1,"AZ","After waiting for an hour to do a wire transfer the bank representatives at this location are by far the worst Wells Fargo employees I have ever dealt with, customer service here is terrible at store #00754224.",0.391039069278855,0.452551411217169,0.156409519503976,"review","UoaC8YC4Z_rssccxV8nI-g",0,0,1,17
"_Z7YhbiFwGkE9JFI7s3u2Q","Banks & Credit Unions,Financial Services","Scottsdale","2009-01-11",0.374880880260997,"Banking","Wells Fargo Bank",4,0.0930232558139535,3,0.0697674418604651,"Z0AohB6ZPTOFTyhz-cGn8w",4,"AZ","After some nightmares with Chase, who inexplicably closed the checking account of the non-profit organization for students in which I am involved, I decided to try to take the account to Wells Fargo. This branch is closest to my school, and the banker I worked with made the process of opening up a new non-profit account very easy, and I did not have to file all kinds of awful paperwork that Chase would have made me do. I have not had good experiences at every branch (7th St, just past Camelback, I'm looking at you), but this one let me keep the organization running, financially speaking, with a minimum of red tape. Much appreciated!",0.670763296961595,0.258773360566649,0.0704633424717561,"review","N-D-d1Z4UybdlkK1HxlNPA",4,1,4,43
"_Z7YhbiFwGkE9JFI7s3u2Q","Banks & Credit Unions,Financial Services","Scottsdale","2009-03-10",0.42586991499762,"Banking","Wells Fargo Bank",2,0.0238095238095238,4,0.0476190476190476,"3rWhIcUibkSrt3bzkIsFCA",1,"AZ","I do NOT like Wells Fargo banks! 

I am not writing about this branch specifically, I am writing about EVERY one I have been in within the last year or so. I have a business account here that has myself and my 2 other business partners on it. The only interaction I ever really need to have is depositing rent checks- that's it. It should be so simple, but for some reason it NEVER is! Whether I drive up or walk in, it is by far the longest deposit process of any bank I have ever been to. For reals, it takes me about 5-7 minutes (yes I have timed it) once I am at the teller window. 

So today, I walk in and hand over my check and my slip. After a looooong pause (and way more typing than I believe is required to process my deposit) she asks me to confirm my home address, NOT the business address on the account. I do it, realizing later that I just confirmed some marketing departments opportunity to flood me with crap mail. Then she asks me to confirm my name... yes my name. I do it. She then asks me to sign the check right below where I have clearly written ""For Deposit Only"" and the account number. I do it. Looooooooong pause........ more typing. 

""You're all set, have a great day, sorry I stole 7 minutes of your life"" (I added that last part). 

Wells Fargo, I am NOT your fan! Peace out!",0.612561927308613,0.356691123188949,0.0307469495024376,"review","VZ4mMMnCgs1GbKeS6sYQ5g",1,1,2,84
"_Z7YhbiFwGkE9JFI7s3u2Q","Banks & Credit Unions,Financial Services","Scottsdale","2009-04-29",0.442283329981309,"Banking","Wells Fargo Bank",7,0.0714285714285714,18,0.183673469387755,"tueUBn9TcxF1Xuv59lGaYg",4,"AZ","I think I have finally found my 'home' with a bank. I have been with Wells Fargo for 4 years. here is my list of postitives and negatives.

positives:
- 24 hr customer service
- great online banking
- many locations
- text banking
- free checking for students
-upgraded to the next free checking account and now i get free checks too!
- AWESOME savings plans. you can set goals, time limits, auto transfers and it will tell you how close you are to your savings goal. i LOVE this feature.


negatives:
- you have to have your account number (not your debit card number) when you call. maybe im crazy for not having it memorized but it's a pain in the butt
- they charge you for the phone call if they think you could have been able to handle it online yourself( if you call and complain they will usually take care of it)
- there is a $10 transfer fee if you move money from your accounts too frequently or if they need to pull from your savings for overdraft protection
- when i first opened my account i was ready to start building my credit score but had really young credit and they wouldn't give me a student card without paying a huge down payment first. i went elsewhere to open my first credit card but it would have been nice to have them all on one website. Chase ended up taking a chance on me and I have been with them for a few years now(credit card wise, not checking!) and have been satisfied.",0.911945876305453,0.0678571295567859,0.0201969941377606,"review","hFtlFksrcLaWHGPNa6SmeA",3,3,4,98
"--sSW-WY3vyASh_eVPGUAw","Banks & Credit Unions,Financial Services,Mortgage Brokers,Home Services,Real Estate","Las Vegas","2010-09-09",0.408178403794231,"Banking","Bank of America",3,0.0545454545454545,8,0.145454545454545,"_jnudHvBxRTpmSMD46iDHw",1,"NV","Worst BofA EVER.  I will readily drive to the other side of the city before I go here.  No one who works there speaks English as their first language and if the language barrier isn't enough when you are trying to deal with people with a topic as sensitive as your money, their employees aren't knowledgeable, friendly or helpful.

I went here first and was absolutely frustrated.  I called the 800 customer service number and spoke with a manager there, she was shocked at how unhelpful the people there were.  She kept saying ""and they couldn't just do this there?""  and ""Our policy is that you just take it into your local banking center"".  I needed an account verification form filled out.  

I took it to the next closest BofA the next day and they were able to help me without all the drama.  I absolutely will not go back for anything other than the ATM.",0.317756367941334,0.537116979254132,0.145126652804533,"review","JY42lv_UOB8vWvH_fHcWoQ",1,1,5,55
"-6m6SqygK0Ak-PSN5pRqjA","Banks & Credit Unions,Financial Services,Mortgage Brokers,Home Services,Real Estate","Gilbert","2012-11-28",0.426043799488319,"Banking","Bank of America",10,0.099009900990099,15,0.148514851485149,"O8FxpFZZ6FeHNpo2NK2Avw",1,"AZ","I have banked with Bank of America for some 20 years but they have committed the ultimate faux-pas with their legal department. They illegally seized ALL of my and my children's' accounts - some of which contained my children's death benefits and my retirement fund deposits in them, which is against federal law. The Texas judge who fired off the order immediately reversed the order and apologized for the mistake AND also said that what Bank of America did was against federal law. So, Bank of America returned our money after about a week but Bank of America has decided to keep $100 dollars for ""legal fees"" and $10 from an overdraft protection fee that cleaned out a savings account when the order was issued. Even the SS agents say this act of seizing death benefits done by Bank of America was illegal in the first place ""but this happens all the time with Bank of America"" they said. 

Oh, I talked to every manager I could at the Bank of America legal department in California until I reached AJ, who said he was at the top of the legal department. He bluntly said, ""we are keeping your money"".

Well Bank of America, you won your $110 for now but you lost 7 accounts already by us closing our accounts to keep you from doing further illegal things to us. I will continue to recommend that people make other banking arrangements to protect themselves from the predatory ways of the Bank of America legal department.

Sincerely, Craig Stellpflug - former Bank of America customer",0.836519495540019,0.118803418604437,0.0446770858555442,"review","7hzi-9INlmHkJImoLNXy1A",0,0,2,101
"-cVKo1S1B2jAs2Bgy2Lw_Q","Banks & Credit Unions,Financial Services,Mortgage Brokers,Home Services,Real Estate","Las Vegas","2014-01-10",0.168164806758209,"Banking","Bank of America",1,0.2,0,0,"479g88M596bBIK10oJiPOw",5,"NV","Although I was frustrated at what was happening Zachary made the experience great.  Thanks for you patients",0.175265946007335,0.639167080301707,0.185566973690958,"review","pZygnzYGygZEep6tQsq42A",0,0,1,5
"-cVKo1S1B2jAs2Bgy2Lw_Q","Banks & Credit Unions,Financial Services,Mortgage Brokers,Home Services,Real Estate","Las Vegas","2014-10-21",0.386879600932897,"Banking","Bank of America",2,0.0425531914893617,8,0.170212765957447,"RxrJTFi4H99fFZIv7coC1A",4,"NV","I've had great experiences at this branch with multiple associates - managers, tellers, and personal bankers. 

I love the feature of being able to schedule appointments online to see a banker because it has eliminated a wait time for us on numerous occasions. Even if you do have to wait, the lobby and chairs are very comfortable. The bankers are professional and although I can't say I've been completely impressed with all of them and their service, it wouldn't stop me from returning.

The drive-up ATMs are great and I've rarely had issues with them. They're also not very busy, so they're extremely convenient.

Overall, the location is convenient and I am pleased with the service when I visit (although a rarity with BOA's fantastic online banking app).",0.0538984987007178,0.727827443658777,0.218274057640505,"review","N7wNlo3_EaHUWHiFDyGh5g",1,1,1,47
"-cVKo1S1B2jAs2Bgy2Lw_Q","Banks & Credit Unions,Financial Services,Mortgage Brokers,Home Services,Real Estate","Las Vegas","2015-01-07",0.329285402864668,"Banking","Bank of America",1,0.0384615384615385,0,0,"eAlJEGAQcFY4iTqSuyAWKw",2,"NV","I usually dong have any problems out of this particular Bank of America but today is different, they only have 2 tellers and 15 people waiting! The first teller is extremely slow and the next teller is holding a personal conversation... Another guy is sitting in his office and I just seen another woman walk in the back.... I have never waited in line for 20 min.... This is ridiculous and This branch needs more tellers available",0.0675050695922023,0.866658885068507,0.0658360453392912,"review","mOFRAFNW67N6qX03BiNAVA",0,0,1,26
"-TTcDHwNAIeJmCyWN_AtBA","Banks & Credit Unions,Financial Services","Charlotte","2010-03-19",0.395773608298833,"Banking","Bank of America",1,0.0151515151515152,4,0.0606060606060606,"WcZ5Ul769uI1qRaHi4aB5w",3,"NC","This branch was recently expanded, which is a good thing, because it is always absolutely slammed (perhaps a change over when Joy wrote her review).  I don't know why exactly - but every single time I have ever been inside, it is always insanely busy.

The expansion actually wasn't to the inside, however (at least as far as I know), it was to the outside.  The added several lines to the drive-through.  In a bit of a strange turn, the drive-through lanes are all two deep.  That means that there is someone in the front and someone in the back.  So if you get in the back you'll have to wait until the front person is done.  Think of a gas station, only you can't pull out until they are done.  Even the ATM drive through has two positions.  It's a little strange actually.

Generally the setup seems to move well, but it really looks odd.  Most times I go into the lobby and use the ATM there, because for whatever reason people don't use it.  It's actually inside the doors (which is nice, because some other branches have the ATM outside).  There can be huge lines at the tellers, but there is no one at the ATM.  Often I'll get done before anyone has moved at the drive through lines...",0.116316588748563,0.0571153483980953,0.826568062853342,"review","-_1ctLaz3jhPYc12hKXsEQ",0,0,1,66
"-VxYYVB4Df7mUPyHZfkU2Q","Banks & Credit Unions,Financial Services","Las Vegas","2014-06-14",0.336329613516418,"Banking","Wells Fargo Bank",2,0.08,2,0.08,"EGxaURdf1aFqan9CBwFGgA",5,"NV","I've had some terrible experiences with banks in the past and when I relocated to Las Vegas I wasn't sure which to choose. But I'm really glad I did pick this branch, I have had to do a ton of things through this bank and everyone I have dealt with has gone above and beyond to help me. Rough location to get out of, Rainbow is usually a mess right there.",0.232204852538046,0.680446954933667,0.0873481925282871,"review","wScZt4ptm3YS-w_1bZCXeA",0,0,1,25
"07a5t3hYhtPHlBviiETUpA","Banks & Credit Unions,Financial Services","Tempe","2011-02-05",0.324741671090226,"Banking","Wells Fargo Bank",2,0.08,4,0.16,"QEbJ95NFfPQPNIyug-lAGA",5,"AZ","It's kinda silly to review a bank but like the other Yelper who reviewed this location, I just wanted to give props to their friendly staff.  Britney helped me the other day and she was friendly and efficient!  Also, I didn't really have to wait at all, but then I went on slightly off hours.

The location is a lil tucked off the main road so don't miss it!

See ya there!",0.34810693894127,0.144135529852716,0.507757531206014,"review","fPHLPrymsyb6WSFFKoMrTQ",1,1,1,25
"07a5t3hYhtPHlBviiETUpA","Banks & Credit Unions,Financial Services","Tempe","2014-08-21",0.324741671090226,"Banking","Wells Fargo Bank",0,0,5,0.2,"h1DKBYFxoPtqRgm8OcB-jQ",5,"AZ","This bank is wonderful! Sean signed me and my boyfriend up for a few accounts and he was just great. Very helpful and answered all our questions i details. He even did a follow up call a few days later to make sure our accounts were going okay. 
I have been in this bank 3 times since I got an account and everytime was a fantastic experience. Everyone was friendly and treated me like a loyal customer!!",0.191654251546613,0.738634329036806,0.0697114194165806,"review","0t20fxqUK-HHPNKYt0LCNg",1,1,1,25
"07a5t3hYhtPHlBviiETUpA","Banks & Credit Unions,Financial Services","Tempe","2014-11-24",0.359070824200539,"Banking","Wells Fargo Bank",3,0.0857142857142857,4,0.114285714285714,"08T6PVR5OzTgXH2jynzmpg",1,"AZ","I am about to be a ""former"" Premier customer with this bank.  I have had two bad experiences with them, the most recent on 11/18/2014.   A merchant made an error and charged my debit card (used as a credit card) for $4123 instead of 123.00.  They voided the sale, however Wells Fargo will not release the money for up to 15 days!  I have the voided slip... still nothing!  If this is how you want to be treated... bank with them.  If not, find somewhere else to go to.  The fact is, they just have people read off of the computer screens and tell you ""they are sorry, but they can't help you"".",0.74451351991929,0.201307213954382,0.0541792661263285,"review","v7pgiW6IS8jSkQ2B4jeXxg",0,1,2,35
"09op0x7OYGvGprwoDbgfrg","Banks & Credit Unions,Financial Services","Litchfield Park","2011-10-31",0.217273920491108,"Banking","Chase Bank",2,0.25,1,0.125,"SK-nNLZxeNBNhsA_wL5LVg",1,"AZ","Rude employees. Awful company. Waste of time, money, energy.",0.68332381567065,0.187447415700564,0.129228768628786,"review","uFppZrbeNm7jHjbToYzsBg",0,0,1,8
"09op0x7OYGvGprwoDbgfrg","Banks & Credit Unions,Financial Services","Litchfield Park","2013-04-07",0.0724246401637028,"Banking","Chase Bank",0,0,0,0,"HWaT7yypfH3hi-qjDpP_dg",2,"AZ","Meh, I had better services else where..",0.229740360779736,0.540539655577666,0.229719983642599,"review","wvnRlMi6pY3MExPsQp3ZXA",0,0,1,2
