"business_id","date","review_id","stars","text","type","user_id","votes_cool","votes_funny","votes_useful","name","categories","city","state","industry"
"-_LReJW6VV2RBIPS_TaZWQ","2010-09-03","3QamPMjUPVN4tVi5ReBIYA",4,"I have to admit, I'm not usually a JCPenney shopper. Today, however, I needed to purchase an outfit for an interview and felt I would have the most luck here. I was correct. I found a nice blouse for $14, tights for $7, and killer pumps for $30 (my splurge of the day) for the occasion. Besides finishing my interview attire, I found a cute zebra-print romper for $4 dollars. Yes you heard me correctly, FOUR DOLLARS. I also found an adorable tank top for another outrageous $2. Head in there this weekend, they are having a killer Labor Day sale and it's totally worth it. Oh and on top of that the employees were super friendly AND there is a Sephora inside. I never thought I'd say this but I might shop at this JCPenney again.","review","IO3AsR6cdMto7VCwfPzf2w",2,1,2,"JCPenney","Women's Clothing,Department Stores,Fashion,Shopping,Baby Gear & Furniture","Tempe","AZ","Clothing"
"-_LReJW6VV2RBIPS_TaZWQ","2011-01-08","p85krGhZ_Z2cAGWXFUmtyw",5,"I visited the JCPenney Salon on a recommendation from a friend, and was very pleased with the service, cut and price. 

I was a little apprehensive about going into a department store for a haircut, but the staff was professional and the prices were excellent. 

But the most positive aspect of my visit was how accommodating they were. If you're a hijabi this location can accommodate your request for privacy. I asked the woman on the phone and she was able to arrange it with my stylist. My stylist was extremely nice and didn't seem to mind cutting my hair in the waxing room. 

She also did a fantastic job of fixing my hair after a bad haircut I got elsewhere. They also sent me home with a few coupons for my next visit. 


I plan on going here again!","review","B0vAkXiMO4FJV2sM6tFGDw",0,0,0,"JCPenney","Women's Clothing,Department Stores,Fashion,Shopping,Baby Gear & Furniture","Tempe","AZ","Clothing"
"-_LReJW6VV2RBIPS_TaZWQ","2011-04-16","WDdqOWznmhD3i30e61i6Lg",5,"Great prices and friendly staff. Shop for the whole family in a one stop shop!","review","-2Be-3ceNndWD6PmQOLG6Q",0,0,1,"JCPenney","Women's Clothing,Department Stores,Fashion,Shopping,Baby Gear & Furniture","Tempe","AZ","Clothing"
"-_LReJW6VV2RBIPS_TaZWQ","2011-09-12","e7M6fQtODqcs0CRqSLtLiQ",4,"Mary at the JC Penney styling salon is great.   I had some pretty damaged hair, she gave me a great cut, nice new color and it looks great.  A little expensive, but worth it...thanks Mary.","review","6ZXbTu3isjKoD42_iKOhqA",0,0,0,"JCPenney","Women's Clothing,Department Stores,Fashion,Shopping,Baby Gear & Furniture","Tempe","AZ","Clothing"
"-_LReJW6VV2RBIPS_TaZWQ","2012-05-23","njNtTRs9A5-mBsA2u1OONw",5,"I go to the JC Penney salon because that's where my stylist, Samantha, works. She saved my hair! My previous stylist left color on too long and literally fried it. Samantha and I are in a repair process that I trust. Better yet, she's a hoot! A very sweet girl with a great personality and excellent styling skills...I highly recommend her!","review","f5-O-eg26XJZz-aIYb6jqg",0,0,1,"JCPenney","Women's Clothing,Department Stores,Fashion,Shopping,Baby Gear & Furniture","Tempe","AZ","Clothing"
"-_LReJW6VV2RBIPS_TaZWQ","2012-08-17","qB1UNqPP82qPzXaTVbshFg",5,"Samantha in the Salon did a terrific job with my hair.  She really listened and my hair turned out great.  I will definitely return!","review","daC5K0Pugn6B4-YV0umPEQ",0,0,0,"JCPenney","Women's Clothing,Department Stores,Fashion,Shopping,Baby Gear & Furniture","Tempe","AZ","Clothing"
"-_LReJW6VV2RBIPS_TaZWQ","2012-09-15","5uuzbaZuavRdAlXLdTFhFA",4,"Hands down, this is the CLEANEST JCP I've gone to. The people are generally nice. I usually shop online and have the clothes delivered to this store. If you haven't used that service, I recommend it. JCP has some amazing clothes at great prices and online shopping is so easy. Plus, returns are a breeze. I don't know why more people don't do this!","review","iAUOGnPA0tZJ0SZdbT7q_g",1,0,1,"JCPenney","Women's Clothing,Department Stores,Fashion,Shopping,Baby Gear & Furniture","Tempe","AZ","Clothing"
"-_LReJW6VV2RBIPS_TaZWQ","2012-10-01","Im3ApPnhuL5-XDtqcBIoAw",5,"So this review is about the portrait studio inside, I didn't really shop around (reason will be explained in a minute) but it looked clean and well put together so yay for that. 

So I called JCPenny Portrait Studios a couple days ago to see if they would allow me to take my dog Roscoe to the studio to get our picture taken together. These pictures were very important to me because he is turning 12 in December and our time is limited if you know what I mean. 

Anyways so I called them on Saturday and they scheduled me an appointment on Monday (tonight) night which was super quick for such late noticed. So there I went, I walked my 60lb dog all the way through JCPenny (because the portrait studio was in the back) and not one employee was a brat about it. They all greeted him warmly and pointed me in the right direction. 

The woman who took our picture was named Erica and she was amazing. So patient with Roscoe and had some great ideas. The pictures came out absolutely fabulous and I am SO excited to get my prints. I was on a budget and she didn't push me to buy a ton at all, it was pressure free. I wanted a CD but it was so expensive she even showed me a cheaper alternative, ($10 to put them online for 2 years) instead of trying to convince me to buy a CD. 

The prices are ridiculously reasonable. Regular prints cost $4/sheet and special effects prints start at $10. Really, you can't beat prints at $4/sheet... 

All in all I am very impressed and so excited for these prints (I'll put pictures up when they go online!) 
One tip: Don't go in without a coupon...go online to their website jcpportraits and print them out! I got a coupon for one free sitting (a sitting is $9/person so since there was two of us it only cost $9) along with a two pose package which included 1 8X10, 2 5X7's and eight wallets. 

If you're hesitant on JCPenny Portrait Studios, or want to bring a pet in I definitely reccommend doing so!!","review","DfVhEfh6KUxHrDbs57zYGg",0,0,0,"JCPenney","Women's Clothing,Department Stores,Fashion,Shopping,Baby Gear & Furniture","Tempe","AZ","Clothing"
"-_LReJW6VV2RBIPS_TaZWQ","2013-09-03","d_JRQV703mb8zjxMw0vX1A",5,"Love this store!","review","tSdrjFRitJKLK7tbbrnQHA",0,0,0,"JCPenney","Women's Clothing,Department Stores,Fashion,Shopping,Baby Gear & Furniture","Tempe","AZ","Clothing"
"-_LReJW6VV2RBIPS_TaZWQ","2013-09-08","lxo8V1JPkMvg4wveap29pQ",5,"Dina at the salon is excellent!! Not only does she have the experienced detailed knowledge for coloring, but she cuts amazingly!! I am so picky about my hair and I am happy to have finally found someone who gives me exactly what I want! Thank you, Dina!","review","DmF_slQgO8tNCsSZNQwpWA",0,0,0,"JCPenney","Women's Clothing,Department Stores,Fashion,Shopping,Baby Gear & Furniture","Tempe","AZ","Clothing"
